"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q1,Q2,Q3,Q4";"SOT-23_Handsoldering";4;"N-MOSFET";;;
2;"C1,C2,C5,C6,C7,C8,C10,C11";"C_0805_HandSoldering";8;"10uF";;;
3;"C3";"C_Radial_D5_L11_P2";1;"100uF";;;
4;"C4";"C_Radial_D10_L16_P5";1;"1000uF";;;
5;"C9";"C_0805_HandSoldering";1;"0.1uF";;;
6;"D1";"SOD-323";1;"Diode";;;
7;"D2,D3";"SOD-323";2;"Schottky";;;
8;"D4";"LED_0805";1;"LD1";;;
9;"D5";"LED_0805";1;"LDPWR";;;
10;"IC1";"SOIC-20_7.5x12.8mm_Pitch1.27mm";1;"ATTINYx313-S";;;
11;"L1";"Bourns-Inductor-SRN4026";1;"INDUCTOR";;;
12;"P1";"Phoenix-Combicon-2.5mm-2";1;"Power";;;
13;"P2";"Pin_Header_Straight_2x03";1;"ISP";;;
14;"P3,P4";"Pin_Header_Straight_1x04";2;"CONN_01X04";;;
15;"P5";"Phoenix-Combicon-2.5mm-3";1;"FROG 1";;;
16;"P6";"Phoenix-Combicon-2.5mm-3";1;"FROG 2";;;
17;"P7";"Pin_Header_Straight_1x03";1;"SERVO1";;;
18;"P8";"Pin_Header_Straight_1x03";1;"SERVO2";;;
19;"Q5,Q6";"SOT-23_Handsoldering";2;"2N3904";;;
20;"R1,R25,R27,R28,R29";"R_0805_HandSoldering";5;"10K";;;
21;"R2,R5";"R_0805_HandSoldering";2;"1K";;;
22;"R3,R4";"R_0805_HandSoldering";2;"2K";;;
23;"R6,R7,R8,R9,R14,R20,R21,R22,R23";"R_0805_HandSoldering";9;"120";;;
24;"R10,R11,R16,R17";"R_0805_HandSoldering";4;"22K";;;
25;"R12,R13,R18,R19";"R_0805_HandSoldering";4;"1k";;;
26;"R15";"R_0805_HandSoldering";1;"330";;;
27;"R24,R26";"R_0805_HandSoldering";2;"2K7";;;
28;"RLY1,RLY2";"Relay_SPDT-Form_C";2;"SPDT";;;
29;"SW1";"SW_PUSH_SMALL";1;"BTN-PLUS";;;
30;"SW2";"SW_PUSH_SMALL";1;"BTN-MINUS";;;
31;"U1";"SOT-23-5";1;"PAM2305DABADJ";;;
32;"REF**,";"MountingHole_3-7mm";2;"MountingHole_3-7mm";;;
